,582473be40198a001010e1a8_Temperatur,5889cb92ff876d00101be9e2_Temperatur,58b4531ee53e0b001251d080_Temperatur,590b8480dd09cc0011aa79cf_Temperatur,592ca4b851d3460011ea2638_Temperatur,5936c52aad0fa30011033d6a_Temperatur,594c01c7be77820011792183_Temperatur,595178fb94f0520011e083ef_Temperatur,59592d0994f05200114428e9_Temperatur,5984c712e3b1fa001069150b_Temperatur,5998a7bad67eb500114b7d79_Temperatur,599f3364d67eb50011b85cd2_Temperatur,59b9030bd67eb500117a3ff0_Temperatur,59d10f6f66f66a0010fde34d_Temperatur,59d7db4666f66a0010793e3b_Temperatur,59e4339c49f6f800111fc600_Temperatur,59e4339c49f6f800111fc602_Temperatur,59f8af62356823000fcc460e_Temperatur,59f8d1fb356823000fcef14a_Temperatur,59fe4c93d13da400100069b0_Temperatur,59ff7429d13da40010178bad_Temperatur,5a1185849fd3c200118188b1_Temperatur,5a414a7cfaf306000fbb6ba0_Temperatur,5a524c69fa02ec000fe2a95e_Temperatur,5a57e3692b734700103d5e5b_Temperatur,5a5ade44999d43001bb1efef_Temperatur,5a746c9d29b729001acaa192_Temperatur,5a771c8829b729001a158745_Temperatur,5a7c6e30398b82001137b276_Temperatur,5a7f2eb1398b82001189eb67_Temperatur,5a8c3d36bc2d4100190c49fd_Temperatur,5a914cfabc2d410019af575f_Temperatur,5a915e10bc2d410019b1955a_Temperatur,5aa68042396417001bcc3501_Temperatur,5ad02a90223bd8001989ff61_Temperatur,5af4b3c3223bd80019284e97_Temperatur,5afdcb33223bd8001995fb23_Temperatur,5b116f734cd32e0019d35cfd_Temperatur,5b4898475dc1ec001b8e0745_Temperatur,5b4c88275dc1ec001b3c3bc4_Temperatur,5b5e071441718300198cc5f2_Temperatur,5b8e853d7c51910019ec9d3f_Temperatur,5b905c477c519100194292db_Temperatur,5ba398fde62474001909baca_Temperatur,5bba392b043f3f001b2e5769_Temperatur,5bba72b1043f3f001b38f1c1_Temperatur,5bf50e2786a6b500192f8fa4_Temperatur,5bf8372e86f11b001aae61a6_Temperatur,5bf8373386f11b001aae6285_Temperatur,5bf8379d86f11b001aae79d6_Temperatur,5bf837bf86f11b001aae7f89_Temperatur,5bf93b1ba8af82001afbee86_Temperatur,5bf93b63a8af82001afbfbc7_Temperatur,5bf93bd1a8af82001afc12e5_Temperatur,5bf93be1a8af82001afc156f_Temperatur,5bf93bf4a8af82001afc18d7_Temperatur,5bf93c3fa8af82001afc2a18_Temperatur,5bf93c42a8af82001afc2a9e_Temperatur,5bf93d62a8af82001afc6512_Temperatur,5c01676accc67b001c89f9f6_Temperatur,5c016861ccc67b001c8a2d40_Temperatur,5c01686bccc67b001c8a2f04_Temperatur,5c016888ccc67b001c8a346c_Temperatur,5c0e923e919bf8001abda1e3_Temperatur,5c1d220a919bf8001ad93507_Temperatur,5c22ef44919bf8001a10acce_Temperatur,5c253d5e919bf8001a8b9944_Temperatur,5c2bca0e2c80100019218e6d_Temperatur,5c32a21b2c8010001993c090_Temperatur,5c377effc4c2f3001942a948_Temperatur,5c4339d41b7ca80019cfb600_Temperatur,5c4504141b7ca80019395c89_Temperatur,5c5d8176c6ca900019c8b203_Temperatur,5c63e867a100840019ccc9c8_Temperatur,5c67ef61a100840019d0afb2_Temperatur,5c6888e1a100840019f64117_Temperatur,5c7284849e675600196c6ec1_Temperatur,5c769694973d19001aea4804_Temperatur,5c84ec57922ca900197df10a_Temperatur,5c850a54922ca90019864ede_Temperatur,5c8aab08922ca900191ed64f_Temperatur,5ca4d598cbf9ae001a530521_Temperatur,5cacc12c3680f2001b7a20fa_Temperatur,5cb5ad58c9e9ab001a3680d2_Temperatur,5cbcc42d796ef6001a5b18cb_Temperatur,5cd5576eff898b001a1f1d09_Temperatur,5cd85821ff898b001af92456_Temperatur,5cd9440aff898b001a3ba6c2_Temperatur,5cec301130705e001a93b11d_Temperatur,5cf9874107460b001b828c5e_Temperatur,5cfae181a1ba9f001a19d77d_Temperatur,5d0600b383fbe0001ad76761_Temperatur,5d091cf583fbe0001ab57caa_Temperatur,5d0b16ac83fbe0001a42d159_Temperatur,5d0bc7eb30bde6001a17e299_Temperatur,5d0e0ea130bde6001abb320a_Temperatur,5d21ecb930bde6001a74a9d3_Temperatur,5d2818e330bde6001a43382a_Temperatur,5d3eb4f6953683001aafbbb0_Temperatur,5d3edec6953683001abb743d_Temperatur,5d4e740a953683001a213b8d_Temperatur,5d5929a0953683001a26e015_Temperatur,5d5a8d95953683001a8a8890_Temperatur,5d6be990953683001a7b3c01_Temperatur,5d6d8d6b953683001af59ce0_Temperatur,5d6e465a953683001a2b62cc_Temperatur,5d78d019953683001a3ef924_Temperatur,5d78d78f953683001a412c20_Temperatur,5d821912953683001af1f778_Temperatur,5d8219d2953683001af23040_Temperatur,5d8a549d5f3de0001a7c3507_Temperatur,5d8e1cc45f3de0001a98509b_Temperatur,5d9ef41e25683a001ad916c5_Temperatur,5d9f216425683a001ae684cd_Temperatur,5da0a27f25683a001a592722_Temperatur,5da202ac25683a001ac232e7_Temperatur,5db731982a6cca001a6ca4b8_Temperatur,5dbddb15a68df4001a82fe5b_Temperatur,5dbf1a8ca68df4001adead31_Temperatur,5dc5d2d37d4ff7001ac78622_Temperatur,5dcbe2d1306947001a2c353d_Temperatur,5dcc3625306947001a431df8_Temperatur,5dd7b20f4ec04e001a06c510_Temperatur,5dd810224ec04e001a2212a1_Temperatur,5ddec925ba7944001db2b94b_Temperatur,5ded15e22b3516001a35dad0_Temperatur,5df0c3702b3516001a4efb32_Temperatur,5df0c5c62b3516001a4faf8b_Temperatur,5df0c6362b3516001a4fd5cf_Temperatur,5df0c67b2b3516001a4fe5df_Temperatur,5df0c6c02b3516001a50001c_Temperatur,5df0c7552b3516001a502db0_Temperatur,5df0e1a82b3516001a58078e_Temperatur,5df0e1fe2b3516001a581eb0_Temperatur,5df0e22a2b3516001a582a57_Temperatur,5df0e2862b3516001a5848e8_Temperatur,5df7d5ed3a2923001fa29be4_Temperatur,5e0089a35b8d95001a868e0d_Temperatur,5e02b67d475fc6001a132e34_Temperatur,5e03270b475fc6001a351b04_Temperatur,5e03cf50475fc6001a68518b_Temperatur,5e07550d8c8053001a9fe667_Temperatur,5e078ec58c8053001ab19510_Temperatur,5e0880f28c8053001afb27b7_Temperatur,5e0a14c717c51e001ac7086f_Temperatur,5e0ba32b7c9a10001ac5ca67_Temperatur,5e10d5bab0c088001bf1d26b_Temperatur,5e127d1fe5e60c001a89aba2_Temperatur,5e14e11ae5e60c001a4e572f_Temperatur,5e1f4b56b459b2001eed0f5a_Temperatur,5e22d7a87993c4001bfb1f60_Temperatur,5e242095b9b1f3001af00bd7_Temperatur,5e25fe07386af6001a5771b6_Temperatur,5e2bee3f8ede87001b290200_Temperatur,5e2c6ed68ede87001b571456_Temperatur
2020-01-01 01:00:00+01:00,4.240666666666667,7.316206896551722,6.5927118644067795,,16.366666666666664,6.427272727272728,5.221304347826087,5.604166666666667,4.5,5.337500000000001,6.490833333333332,4.825925925925925,6.166521739130434,4.851428571428571,6.675500000000001,6.420833333333333,6.4624999999999995,5.766666666666666,16.900000000000002,6.662608695652173,,7.774999999999998,6.0763333333333325,3.6,5.478260869565218,,,4.766666666666667,7.0743333333333345,7.779166666666668,5.860869565217393,7.390666666666665,,4.278260869565216,6.884444444444444,,5.204166666666667,5.133333333333333,5.819999999999999,5.758333333333334,9.587499999999997,,5.66875,,,4.989473684210527,5.529166666666668,,4.860500000000002,8.89316666666667,7.079000000000002,5.614999999999999,,6.049000000000002,5.705500000000002,5.913666666666667,,,17.892372881355925,5.2956666666666665,5.969499999999997,5.821694915254237,5.655833333333331,21.740500000000015,5.282666666666666,17.042105263157893,4.7043478260869565,5.726315789473685,4.8975,5.686666666666666,,17.33333333333334,,,6.586363636363637,3.25,5.65,,8.397796610169491,6.188666666666665,4.982608695652174,6.0375000000000005,17.279069767441847,17.457142857142852,,5.369473684210527,4.448181818181818,3.9086956521739133,3.0260869565217394,8.363478260869567,5.247826086956522,4.797499999999999,4.195238095238095,21.122702702702636,5.495833333333334,,,4.6000000000000005,20.315499999999982,4.600891116666665,4.5636363636363635,5.895833333333332,,,,5.364583333333337,5.339166666666666,6.888749999999999,,,5.074782608695653,,7.641666666666666,,5.70884725,7.3075,17.133333333333333,8.030434782608696,9.516666666666667,2.740833333333333,5.269565217391304,5.776499999999999,,6.186956521739131,7.347869833333333,18.891304347826082,,,,,,,,,,,3.7166666666666663,4.730434782608696,1.9304477611940298,,4.288333333333333,7.817391304347824,6.575714285714284,,,4.2958333333333325,,,,,,,,,
2020-01-01 02:00:00+01:00,3.355500000000001,6.569333333333332,6.049322033898305,,19.124999999999996,5.508333333333333,3.691666666666667,4.633333333333334,3.758333333333333,4.075000000000001,5.983750000000001,3.9637931034482743,5.377083333333332,3.894285714285715,6.301499999999999,5.225,4.841666666666666,4.952173913043478,16.900000000000002,6.201200000000001,,7.204166666666666,4.972745098039216,2.9545454545454546,4.666666666666665,,,4.158333333333333,6.141333333333334,7.070833333333333,4.904166666666667,6.138333333333333,,3.6875000000000004,6.325000000000001,,4.12,4.312,4.988333333333332,5.2749999999999995,9.047826086956523,,4.850416666666666,,,3.8249999999999997,4.675999999999999,,3.743166666666667,7.888833333333336,6.220499999999997,4.787166666666666,,5.0475,4.9905,5.333833333333334,,,18.271166666666666,3.839830508474576,5.447500000000003,5.454333333333332,4.765833333333331,21.6215,4.499999999999999,16.906666666666663,4.017391304347825,5.174999999999999,4.077826086956521,4.870666666666668,,17.300000000000008,,,5.5808333333333335,1.75,4.8999999999999995,,7.5583333333333345,5.112333333333335,4.504000000000001,5.1891304347826095,17.278048780487804,17.392857142857128,,4.419821428571431,3.3881818181818177,2.8625000000000003,2.4374999999999996,7.484583333333334,4.3374999999999995,4.2975,3.5159999999999996,21.161792452830113,4.483333333333333,,,4.179166666666666,20.20333333333333,3.5968321999999975,2.875,5.104,,,,4.553191489361701,4.312083333333333,6.040869565217391,,,4.535833333333334,,5.9750000000000005,,4.9510195,6.556363636363637,17.23157894736842,7.560000000000002,9.178260869565218,1.8468000000000004,4.233333333333333,5.142833333333331,,5.440000000000001,6.6257936,18.908333333333328,,,,3.1,,,,,,,3.365217391304348,3.9125,0.9944594594594601,,3.360869565217391,7.183333333333334,5.080666666666668,,,3.191666666666667,,,,,,,,,
2020-01-01 03:00:00+01:00,2.3905000000000007,6.1032142857142855,5.2380701754385965,,16.7625,4.945454545454545,2.730909090909091,3.677272727272728,3.258333333333333,3.345,5.487500000000001,3.157142857142857,4.945416666666667,3.0528571428571425,5.94081081081081,4.227272727272727,4.127272727272727,4.177272727272728,16.900000000000002,5.55047619047619,,6.652173913043479,3.822711864406781,2.1750000000000003,3.8636363636363638,,,3.338461538461538,5.311355932203392,6.377272727272726,4.1869565217391305,4.921052631578948,,2.909090909090909,5.561111111111111,,3.2625000000000006,3.2958333333333343,4.1881818181818184,4.654166666666668,8.141666666666667,,4.204545454545454,,,2.928571428571429,3.6166666666666676,,2.7285714285714286,7.363275862068964,5.411724137931034,4.040350877192982,,4.244827586206897,4.086551724137931,4.824137931034484,,,17.889491525423725,3.0647457627118637,4.741,4.65949152542373,4.149090909090909,22.277719298245604,3.6166666666666676,16.738235294117647,3.411111111111111,4.368421052631578,3.2578260869565208,3.9400000000000004,,17.313636363636366,,,4.457777777777778,0.7363636363636363,4.166666666666667,,6.757627118644064,4.355000000000001,3.3428571428571425,4.343478260869563,17.302325581395337,17.360606060606052,,3.522549019607843,2.614,1.9000000000000006,1.375,6.6625,3.4899999999999998,3.7214285714285715,2.9208333333333325,21.196551724137933,3.526086956521739,,,3.504166666666667,20.005000000000003,2.7450872542372866,1.425,4.3086956521739115,,,,3.6770833333333335,3.4868,5.439130434782609,,,3.6126086956521735,,4.971428571428571,,4.1856385,5.595454545454546,,7.016666666666663,8.075,0.9591666666666666,3.375,4.246315789473686,,4.60909090909091,,18.959090909090904,,,,1.9,,,,,,,1.8954545454545446,2.8124999999999996,0.37461538461538463,,2.5172727272727276,6.495652173913046,4.268571428571429,,,2.3809523809523805,,,,,,,,,
2020-01-01 04:00:00+01:00,1.984464285714287,5.4962711864406755,4.998148148148148,,19.32857142857143,4.5666666666666655,2.3775000000000004,3.117647058823529,3.3545454545454536,3.0809523809523816,,2.3234042553191485,4.463636363636364,2.731666666666667,5.674722222222223,3.6105263157894734,3.7052631578947373,3.816666666666666,16.900000000000002,4.972000000000002,,6.331818181818181,3.117454545454544,1.8285714285714285,3.466666666666666,,,2.725,4.319661016949155,5.922727272727273,3.6714285714285717,4.214821428571427,,2.3916666666666666,5.067777777777777,,2.7695652173913046,2.447619047619046,3.842727272727273,4.086363636363637,7.709999999999998,,4.35304347826087,,,2.438888888888889,2.8095238095238093,,1.9477777777777776,6.986949152542373,4.902962962962964,3.567321428571429,,3.9136842105263163,3.987368421052632,4.207931034482757,,,17.868928571428565,2.705263157894737,4.207894736842104,4.255862068965518,3.579464285714286,23.184821428571432,3.109152542372881,16.590625000000003,,3.893749999999999,2.9199999999999995,3.6919999999999997,,17.300000000000004,,,3.6160000000000005,1.1333333333333335,3.8615384615384625,,6.487636363636362,3.861186440677966,3.005,3.8829787234042565,17.308333333333323,17.369696969696975,,3.2011999999999996,2.143333333333333,1.5937500000000002,0.6549999999999999,6.335,3.1333333333333337,3.37875,2.5199999999999996,,3.3049999999999997,,,2.7304347826086954,19.872807017543863,2.170262689655172,0.6999999999999998,3.7954545454545463,,,,3.1340425531914886,2.9930000000000003,5.0345,,,2.998333333333333,,4.500000000000002,,3.99429325,5.361818181818181,,6.663636363636365,7.568181818181817,0.5968181818181818,2.926315789473685,3.9587037037037045,,4.126315789473685,,18.92941176470588,,,,1.6,,,,,,,1.022727272727273,1.8050000000000004,0.5005172413793104,,2.1333333333333333,6.15,3.6338461538461533,,,1.6454545454545453,,,,,,,,,
2020-01-01 05:00:00+01:00,2.9897777777777783,5.65108695652174,5.1310638297872355,,20.750000000000004,4.766666666666667,3.453846153846153,3.6125000000000007,3.4090909090909083,3.661538461538461,,2.754054054054055,4.386666666666667,2.9240000000000004,5.419090909090911,4.620000000000001,4.666666666666667,4.3647058823529425,16.900000000000002,4.913076923076924,,6.843750000000002,3.369268292682927,2.558823529411765,3.718749999999999,,,2.4222222222222225,4.497234042553192,6.192307692307692,3.7999999999999994,3.97,3.83,,5.301,,3.0214285714285722,2.3125,4.22625,3.916666666666666,7.799999999999998,,4.95125,,,3.0200000000000014,2.56875,,2.660454545454546,6.935952380952379,5.176046511627907,3.9110526315789476,,3.9440425531914896,4.603555555555554,4.450222222222221,,,17.705333333333336,3.707446808510637,4.026739130434782,4.267045454545455,3.939047619047619,23.435957446808516,3.2595454545454543,16.565714285714296,,4.033333333333333,3.5972222222222223,4.239,,17.300000000000004,,,4.33375,2.0,3.88,,6.749347826086955,4.411702127659573,3.7357142857142853,4.310638297872341,17.210869565217408,17.419999999999987,,3.777297297297298,2.635,,1.2875,6.686249999999999,3.699999999999999,3.5085714285714285,2.5916666666666663,,4.066666666666667,,,2.555555555555556,19.980454545454542,2.579579930232559,1.0777777777777777,3.966666666666667,,,,3.244444444444446,3.748823529411765,5.467058823529412,,,3.0066666666666664,,4.527777777777777,,3.9624023333333334,5.095714285714286,,6.841176470588235,7.992857142857142,1.1483333333333332,3.3615384615384616,4.559499999999998,,4.329411764705882,,18.97857142857143,,,,,,,,,,,2.2687500000000003,2.7357142857142853,1.0065789473684208,,2.6522222222222225,6.4625,4.445,,,1.7812499999999996,,,,,,,,,
2020-01-01 06:00:00+01:00,3.646,5.954000000000003,4.85,,20.991304347826095,4.59,3.9891666666666663,3.9791666666666656,3.3666666666666667,3.9520000000000004,,3.3807017543859645,4.595833333333332,3.06125,5.053833333333334,4.808333333333333,4.6125,4.224999999999999,16.900000000000002,5.283333333333334,,6.604166666666668,3.901833333333332,2.7857142857142856,3.7833333333333337,,,2.9769230769230766,5.304500000000001,6.249999999999999,3.5521739130434784,5.196833333333333,3.3183333333333334,,5.442000000000001,,3.1166666666666667,2.4083333333333328,4.210833333333333,4.175,7.720833333333331,,3.898750000000001,,,3.0124999999999997,3.3519999999999985,,4.013999999999999,7.062999999999999,5.296833333333334,4.101000000000001,,4.161833333333333,4.602666666666668,4.566,,,17.727666666666668,4.141666666666665,4.217500000000002,3.7575000000000007,3.8336666666666663,23.583499999999994,3.189344262295081,16.636363636363644,,3.9473684210526314,3.697391304347826,4.478666666666666,,17.300000000000008,,,5.286363636363636,1.7923076923076926,3.6733333333333333,,6.961166666666665,5.112833333333334,4.421739130434781,4.191304347826084,17.10652173913044,17.399999999999988,,4.068245614035089,2.785555555555556,,2.620833333333333,6.649130434782608,3.6250000000000004,3.64875,2.7083333333333344,,4.087500000000001,,,2.975,20.19916666666667,2.7013703166666665,2.327272727272727,3.879166666666666,,,,3.1717391304347826,3.7558333333333334,5.386666666666666,,,3.356666666666666,,4.324999999999998,,3.7777710000000004,5.118333333333333,,7.179166666666664,8.458333333333334,1.2156,3.8280000000000003,4.8503333333333325,,4.3909090909090915,,18.963636363636365,,,,,,,,,,,3.345833333333333,3.4347826086956514,1.0171328671328672,,2.5979166666666664,6.491666666666667,5.4479999999999995,,,2.191666666666667,,,,,,,,,
2020-01-01 07:00:00+01:00,3.6150000000000024,5.706000000000002,4.5024999999999995,,21.125,4.5,3.6912499999999997,3.774999999999998,3.091666666666667,3.6875,,3.3315789473684223,4.494400000000001,2.7600000000000002,4.838196721311475,4.541666666666666,4.266666666666667,4.073913043478259,16.875000000000004,5.289600000000002,,6.091666666666668,3.871333333333333,2.6,3.604166666666666,,,3.2083333333333335,5.357833333333333,5.979166666666668,3.275,5.166000000000001,3.1699999999999995,,5.079000000000001,,2.9120000000000004,2.4375,3.866666666666666,4.083333333333334,7.4600000000000035,,5.2992,,,2.908,3.576,,4.139833333333331,6.697666666666667,5.255666666666666,3.8946666666666676,,4.015333333333334,4.503666666666665,4.504333333333333,,,17.651499999999995,3.7356666666666665,4.041166666666666,3.638000000000001,3.6673333333333344,23.648333333333344,2.9823333333333326,16.632000000000005,,3.8050000000000006,3.4220833333333336,4.212666666666666,,17.316666666666674,,,5.51090909090909,1.7818181818181822,3.486666666666666,,6.664333333333334,5.209666666666667,4.504000000000001,3.941666666666668,17.05526315789474,17.35945945945945,,3.751666666666668,2.5488888888888885,,2.9999999999999996,6.432916666666665,3.4083333333333337,3.5975,2.576,,3.883333333333334,,,2.725000000000001,20.29149999999999,2.5670930166666657,2.6,3.6750000000000003,,,,2.8847826086956543,3.3579999999999997,5.00125,,,3.1679166666666667,,4.215999999999999,,3.49327075,4.564166666666666,,7.111999999999998,8.437500000000004,1.1333333333333333,3.712500000000001,4.747666666666666,,4.176000000000002,,18.979999999999997,,,,2.8,,,,,,,3.4583333333333335,3.3666666666666654,0.8053378378378377,,2.581666666666667,6.412000000000003,4.804285714285714,,,2.0625,,,,,,,,,
2020-01-01 08:00:00+01:00,3.398666666666666,5.659833333333331,4.416610169491525,,21.148000000000007,4.116666666666666,3.4983333333333335,3.679166666666667,2.4,3.525000000000001,,3.287719298245611,4.336249999999999,2.5799999999999996,4.510999999999999,4.354166666666667,4.216666666666667,4.008333333333335,16.875000000000004,4.9054166666666665,,5.941666666666667,3.538461538461539,2.3125,3.508000000000001,,,3.1769230769230767,5.298333333333334,5.875000000000001,2.9217391304347813,4.921754385964912,2.31,,5.172499999999999,,2.7416666666666667,2.545833333333334,3.7632,3.8749999999999996,7.499999999999999,,2.9979166666666663,,,2.5208333333333326,3.4000000000000004,,3.945999999999999,6.559166666666665,5.1033333333333335,3.793166666666667,,3.7994999999999988,4.455666666666667,4.279166666666666,,,17.468166666666665,3.5408333333333335,3.7545,3.426333333333333,3.3176666666666668,23.688000000000002,2.7725000000000013,16.60000000000001,,3.6699999999999995,3.085833333333333,4.118666666666666,,17.36666666666667,,,5.320000000000001,1.7454545454545454,3.349999999999999,,6.298999999999997,5.1415000000000015,4.374999999999999,3.7255319148936152,16.98205128205128,17.3,,3.2329090909090894,2.428888888888889,,3.1,6.362500000000001,3.379166666666666,3.3725,2.275000000000001,,3.849999999999999,,,2.7119999999999997,20.293934426229495,2.280074983333334,2.575,3.270833333333332,,,,2.657446808510638,3.2529166666666662,4.9954166666666655,,,2.9716666666666662,,4.083333333333333,,3.3296205,4.968333333333333,,6.958333333333336,8.320833333333336,1.16625,3.220833333333333,4.724833333333333,,4.037500000000001,,18.98333333333333,,,,2.5,,,,,,,3.379166666666666,3.1565217391304357,-0.16563758389261746,,2.631739130434782,6.299999999999997,4.0920000000000005,,,1.7519999999999993,,,,,,,,,
2020-01-01 09:00:00+01:00,3.2265000000000015,5.5635,4.128500000000001,,21.10000000000001,4.472727272727273,3.6620833333333334,3.652173913043479,1.7083333333333333,3.507999999999999,,3.1741379310344824,4.3347999999999995,2.46,4.541333333333332,4.6240000000000006,4.648,3.870833333333333,16.872727272727275,4.7456,,6.104166666666667,3.698166666666668,2.208333333333333,3.162500000000001,,,2.2416666666666667,5.257666666666667,5.744000000000001,3.037500000000001,5.176166666666666,0.5333333333333333,,4.984736842105264,,2.7039999999999997,2.0719999999999996,3.479166666666666,3.9200000000000013,7.199999999999999,,3.0187500000000003,,,2.454166666666667,3.5480000000000005,,4.060166666666665,6.912833333333335,5.203166666666666,3.806166666666667,,3.8856666666666677,4.294833333333333,4.451666666666668,,,17.17366666666667,3.7166666666666663,3.444666666666668,3.186833333333334,3.5191666666666674,23.70683333333334,2.627166666666667,16.67241379310344,,3.4157894736842107,3.1579166666666665,3.742666666666667,,17.374999999999993,,,5.058181818181819,1.7052631578947368,3.0333333333333328,,6.422833333333332,5.1336666666666675,3.752,3.8000000000000007,17.002777777777776,17.297142857142855,,3.455272727272728,2.32,,2.988,6.31,3.0640000000000005,2.8337499999999998,1.5199999999999998,21.25974025974032,3.6320000000000006,,,2.725,20.216499999999996,2.211593599999999,2.7083333333333335,3.311999999999999,,,,2.474999999999999,3.196,5.029999999999999,,,2.7927999999999997,,3.864,,3.3824922500000003,5.1625000000000005,,6.896000000000003,8.304,0.9876,3.2560000000000002,4.557499999999998,,4.035999999999999,,19.044000000000008,,,,,,,,,,,3.232000000000001,3.0625,-1.1302013422818789,,2.4663999999999997,6.120833333333331,4.999333333333333,,,1.9583333333333333,,,,,,,,,
2020-01-01 10:00:00+01:00,3.3243333333333345,5.803333333333336,4.785762711864408,,21.158333333333328,4.32,4.357916666666666,3.9916666666666676,1.9749999999999999,4.245833333333333,,3.5553571428571416,4.506666666666667,3.03,4.573666666666666,5.308333333333333,5.45,4.404347826086955,16.875000000000004,4.7924999999999995,,6.617391304347826,4.175499999999999,2.404347826086956,3.679166666666666,,,2.2166666666666663,5.435666666666666,6.262499999999999,3.3826086956521744,5.337833333333333,1.2241666666666664,,5.2555000000000005,,3.1818181818181825,2.2791666666666663,3.9375,4.0217391304347805,7.550000000000001,,3.357083333333334,,,3.0041666666666664,3.9599999999999995,,4.603166666666667,7.097666666666666,5.570833333333335,3.819661016949154,,4.350833333333332,4.903666666666667,4.945666666666665,,,17.141166666666678,4.487833333333335,3.8671666666666655,3.7053333333333347,3.4806666666666675,23.745499999999996,3.186500000000001,16.821052631578947,,3.8200000000000003,3.5582608695652183,4.319285714285714,,17.330434782608705,,,5.661666666666666,2.3125000000000004,3.3466666666666667,,6.659333333333333,5.629166666666667,3.726086956521738,4.2446808510638325,17.015909090909094,17.396874999999994,,4.052321428571429,2.9500000000000006,,3.217391304347826,7.431818181818182,3.6727272727272733,2.7087499999999998,1.7083333333333328,21.31231527093603,4.370833333333333,,,2.6291666666666673,20.190999999999995,2.7962037166666667,3.0000000000000004,3.5666666666666664,,,,2.9102040816326524,3.7549999999999994,5.079583333333335,,,3.0770833333333325,,4.320833333333333,,3.8507842500000007,5.460000000000001,,7.178260869565221,8.441666666666666,1.3142105263157895,3.6750000000000003,4.791666666666666,,4.370833333333333,,18.970833333333328,,,,2.7,,,,,,,3.4458333333333333,3.508333333333334,-0.16626760563380277,,2.817142857142857,6.316666666666666,5.869333333333333,,,2.179166666666667,,,,,,,,,
