"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"MO_RF_MN004","400","201904","55.86","4","3"
"MO_RF_MN004","400","201905","66.47","4","3"
"MO_RF_MN004","400","201906","59.82","4","3"
"MO_RF_MN004","400","201907","64.9","4","3"
"MO_RF_MN004","400","201908","65.81","4","3"
"MO_RF_MN004","400","201909","73.77","4","3"
"MO_RF_MN004","400","201910","84.33","4","3"
"MO_RF_MN004","400","201911","90.14","4","1"
"MO_RF_MN004","400","201912","86.02","4","1"
"MO_RF_MN004","400","202001","84.47","4","1"
"MO_RF_MN004","403","201001","86.1","4","10"
"MO_RF_MN004","403","201002","81.86","4","10"
"MO_RF_MN004","403","201003","75.16","4","10"
"MO_RF_MN004","403","201004","65.33","4","10"
"MO_RF_MN004","403","201005","77.81","4","10"
"MO_RF_MN004","403","201006","65.33","4","10"
"MO_RF_MN004","403","201007","61.84","4","10"
"MO_RF_MN004","403","201008","77.26","4","10"
"MO_RF_MN004","403","201009","80.6","4","10"
"MO_RF_MN004","403","201010","79.45","4","10"
"MO_RF_MN004","403","201011","86.43","4","10"
"MO_RF_MN004","403","201012","89.39","4","10"
"MO_RF_MN004","403","201101","87.19","4","10"
"MO_RF_MN004","403","201102","71.18","4","10"
"MO_RF_MN004","403","201103","68.87","4","10"
"MO_RF_MN004","403","201104","64.13","4","10"
"MO_RF_MN004","403","201105","62.65","4","10"
"MO_RF_MN004","403","201106","65.17","4","10"
"MO_RF_MN004","403","201107","73.29","4","10"
"MO_RF_MN004","403","201108","74.29","4","10"
"MO_RF_MN004","403","201109","76.2","4","10"
"MO_RF_MN004","403","201110","81.29","4","10"
"MO_RF_MN004","403","201111","85.57","4","10"
"MO_RF_MN004","403","201112","82.1","4","10"
"MO_RF_MN004","403","201201","81.1","4","10"
"MO_RF_MN004","403","201202","77.72","4","10"
"MO_RF_MN004","403","201203","68.81","4","10"
"MO_RF_MN004","403","201204","65.07","4","10"
"MO_RF_MN004","403","201205","61.94","4","10"
"MO_RF_MN004","403","201206","69.5","4","10"
"MO_RF_MN004","403","201207","72.81","4","10"
"MO_RF_MN004","403","201208","71.26","4","10"
"MO_RF_MN004","403","201209","72.17","4","10"
"MO_RF_MN004","403","201210","80.16","4","10"
"MO_RF_MN004","403","201211","87.1","4","10"
"MO_RF_MN004","403","201212","86.26","4","10"
"MO_RF_MN004","403","201301","84.52","4","10"
"MO_RF_MN004","403","201302","83.29","4","10"
"MO_RF_MN004","403","201303","71.9","4","10"
"MO_RF_MN004","403","201304","65.23","4","10"
"MO_RF_MN004","403","201305","71.26","4","7"
"MO_RF_MN004","403","201306","66.65","4","3"
"MO_RF_MN004","403","201307","64.16","4","3"
"MO_RF_MN004","403","201308","70.85","4","3"
"MO_RF_MN004","403","201309","82.8","4","3"
"MO_RF_MN004","403","201310","81.86","4","3"
"MO_RF_MN004","403","201311","87.89","4","3"
"MO_RF_MN004","403","201312","85.92","4","3"
"MO_RF_MN004","403","201401","87.19","4","3"
"MO_RF_MN004","403","201402","76.54","4","3"
